Rank,Release Group,Worldwide,year,Domestic %,Foreign %,Domestic (in $),Foreign (in $)
58,Batman v Superman: Dawn of Justice,873634919,2016,0.3781444477724682,0.6218555522275317,330360194,543274725
59,Finding Nemo,871014978,2003,0.3900219704373442,0.6099780295626558,339714978,531300000
60,Wolf Warrior 2,870325439,2017,0.003126531614572282,0.9968734683854277,2721100,867604339
61,Star Wars: Episode III - Revenge of the Sith,868352530,2005,0.437921885250913,0.562078114749087,380270577,488081953
62,The Hunger Games: Catching Fire,865011746,2013,0.490939052520103,0.5090609474798969,424668047,440343699
63,Guardians of the Galaxy Vol. 2,863756051,2017,0.4512999944240043,0.5487000055759956,389813101,473942950
64,Inside Out,857611174,2015,0.4156449004009829,0.5843550995990171,356461711,501149463
65,Venom,856085151,2018,0.24940919224050412,0.7505908077594958,213515506,642569645
66,Thor: Ragnarok,853977126,2017,0.36893059475225337,0.6310694052477467,315058289,538918837
67,The Twilight Saga: Breaking Dawn - Part 2,829746820,2012,0.35230594436023266,0.6476940556397673,292324737,537422083
68,Inception,828322032,2010,0.35321551727118616,0.6467844827288138,292576195,535745837
69,Wonder Woman,821847012,2017,0.501995385973369,0.49800461402663104,412563408,409283604
70,Spider-Man,821708551,2002,0.4913011730359856,0.5086988269640144,403706375,418002176
71,Fantastic Beasts and Where to Find Them,814037575,2016,0.287502177034027,0.7124978229659731,234037575,580000000
72,Coco,807082196,2017,0.2598570703695711,0.7401429296304288,209726015,597356181
73,Jumanji: The Next Level,796575993,2019,0.3977413941471872,0.6022586058528129,316831246,479744747
74,Harry Potter and the Prisoner of Azkaban,795634069,2004,0.31363798852107727,0.6863620114789227,249541069,546093000
75,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,2017,0.21709293024593404,0.782907069754066,172558876,622302918
76,Mission: Impossible - Fallout,791115104,2018,0.27828959766643513,0.7217104023335649,220159104,570956000
77,Spider-Man 2,788976453,2004,0.47350693874256855,0.5264930612574314,373585825,415390628
78,Fast & Furious 6,788679850,2013,0.30263211365169274,0.6973678863483073,238679850,550000000
79,Deadpool,782612155,2016,0.463921633059737,0.536078366940263,363070709,419541446
80,Guardians of the Galaxy,772776600,2014,0.4311421955581988,0.5688578044418011,333176600,439600000
81,Fast & Furious Presents: Hobbs & Shaw,759056935,2019,0.22917508157671992,0.77082491842328,173956935,585100000
82,Maleficent,758410378,2014,0.31831101604466705,0.681688983955333,241410378,517000000
83,The Amazing Spider-Man,757930663,2012,0.34571851462354675,0.6542814853764533,262030663,495900000
84,The Hunger Games: Mockingjay - Part 1,755356711,2014,0.44632672231596815,0.5536732776840319,337135885,418220826
85,Shrek Forever After,752600867,2010,0.31721566831519477,0.6827843316848052,238736787,513864080
86,Madagascar 3: Europe's Most Wanted,746921274,2012,0.2897112313338661,0.7102887686661339,216391482,530529792
87,Suicide Squad,746846894,2016,0.43529678788488074,0.5647032121151193,325100054,421746840
88,X-Men: Days of Future Past,746045700,2014,0.3135485319465014,0.6864514680534985,233921534,512124166
89,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005,0.39155143866158654,0.6084485613384135,291710957,453302158
90,Monsters University,743559607,2013,0.3610911102114238,0.6389088897885762,268492764,475066843
91,The Matrix Reloaded,739412035,2003,0.3808113036731949,0.6191886963268052,281576461,457835574
92,Deadpool 2,734546611,2018,0.43358912998919275,0.5664108700108073,318491426,416055185
93,Ne Zha,726063471,2019,0.005089820859476899,0.9949101791405232,3695533,722367938
94,Gravity,723192705,2013,0.37900369169238235,0.6209963083076177,274092705,449100000
95,Captain America: The Winter Soldier,714421503,2014,0.3636040781376089,0.6363959218623911,259766572,454654931
96,The Twilight Saga: Breaking Dawn - Part 1,712205856,2011,0.394952008089077,0.6050479919109231,281287133,430918723
97,Dawn of the Planet of the Apes,710644566,2014,0.29345976734028806,0.7065402326597119,208545589,502098977
98,The Amazing Spider-Man 2,708982323,2014,0.28611987410580336,0.7138801258941967,202853933,506128390
99,It,700381748,2017,0.4675760739555994,0.5324239260444006,327481748,372900000
100,The Wandering Earth,699760773,2019,0.008396422358473644,0.9916035776415264,5875487,693885286
101,The Twilight Saga: Eclipse,698491347,2010,0.4302583736946422,0.5697416263053579,300531751,397959596
102,Mission: Impossible - Ghost Protocol,694713380,2011,0.3014162516921727,0.6985837483078273,209397903,485315477
103,The Hunger Games,694394724,2012,0.5875774655223331,0.4124225344776669,408010692,286384032
104,Mission: Impossible - Rogue Nation,682714267,2015,0.2856866868434727,0.7143133131565274,195042377,487671890
105,Doctor Strange,677718395,2016,0.3432722524817996,0.6567277475182004,232641920,445076475
106,Interstellar,677463813,2014,0.2775351441538915,0.7224648558461085,188020017,489443796
107,Man of Steel,668045518,2013,0.4356671965577052,0.5643328034422948,291045518,377000000
108,Kung Fu Panda 2,665692281,2011,0.24823641150196843,0.7517635884980316,165249063,500443218
109,The Hunger Games: Mockingjay - Part 2,658344137,2015,0.4279280184430351,0.5720719815569649,281723902,376620235
110,Justice League,657924295,2017,0.3481012887660578,0.6518987112339422,229024295,428900000
111,Big Hero 6,657827828,2014,0.33827670178769026,0.6617232982123098,222527828,435300000
112,Fantastic Beasts: The Crimes of Grindelwald,654855901,2018,0.24365039813545178,0.7563496018645482,159555901,495300000
113,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003,0.4668053125312111,0.5331946874687888,305413918,348850097
114,Star Wars: Episode II - Attack of the Clones,645256452,2002,0.4683273620331037,0.5316726379668963,302191252,343065200
115,Thor: The Dark World,644783140,2013,0.32004890822672566,0.6799510917732744,206362140,438421000
116,Moana,643331111,2016,0.38667031602642327,0.6133296839735767,248757044,394574067
117,Sing,634151679,2016,0.42638919670825315,0.5736108032917469,270395425,363756254
118,The Incredibles,631442092,2004,0.4140381126192012,0.5859618873807988,261441092,370001000
119,The Martian,630161890,2015,0.36249996488997455,0.6375000351100255,228433663,401728227
120,Fast Five,626137675,2011,0.33513024911014977,0.6648697508898502,209837675,416300000
121,Men in Black 3,624026776,2012,0.2868800841328001,0.7131199158671999,179020854,445005922
122,Iron Man 2,623933331,2010,0.5007479412892594,0.4992520587107407,312433331,311500000
123,Ant-Man and the Wasp,622674139,2018,0.3479327732285988,0.6520672267714012,216648740,406025399
124,How to Train Your Dragon 2,621537519,2014,0.2847823640393944,0.7152176359606056,177002924,444534595
125,Logan,619021436,2017,0.36553995522701094,0.6344600447729891,226277068,392744368
126,The Passion of the Christ,611486736,2004,0.6055317019991747,0.39446829800082533,370274604,241212132
127,Life of Pi,609016565,2012,0.20522762463776334,0.7947723753622367,124987023,484029542
128,Transformers: The Last Knight,605425157,2017,0.21500375644284633,0.7849962435571537,130168683,475256474
129,War of the Worlds,603873119,2005,0.38796287933459084,0.6120371206654092,234280354,369592765
130,Tangled,592461732,2010,0.33896186901738995,0.66103813098261,200821936,391639796
131,The Croods,587204668,2013,0.3187447838885368,0.6812552161114632,187168425,400036243
132,The Hangover Part II,586764305,2011,0.43367379854505633,0.5663262014549436,254464305,332300000
133,Ready Player One,582890172,2018,0.23621975221774713,0.7637802477822528,137690172,445200000
134,Operation Red Sea,579330426,2018,0.0026643637736368433,0.9973356362263631,1543547,577786879
135,Fifty Shades of Grey,569651467,2015,0.2916998193212763,0.7083001806787237,166167230,403484237
136,Kong: Skull Island,566652812,2017,0.29657103686975084,0.7034289631302492,168052812,398600000
137,The Smurfs,563749323,2011,0.2529744199799243,0.7470255800200757,142614158,421135165
138,King Kong,562363449,2005,0.38779196156469975,0.6122080384353003,218080025,344283424
139,Cars 2,559852396,2011,0.3419694143811434,0.6580305856188566,191452396,368400000
140,Puss in Boots,554987477,2011,0.26894391348581725,0.7310560865141827,149260504,405726973
141,The Mermaid,553810228,2016,0.005837170995693492,0.9941628290043065,3232685,550577543
142,The Day After Tomorrow,552639571,2004,0.3379070352528194,0.6620929647471806,186740799,365898772
143,Ted,549368315,2012,0.398303799155217,0.6016962008447829,218815487,330552828
144,American Sniper,547426372,2014,0.639586234621521,0.3604137653784791,350126372,197300000
145,Mission: Impossible II,546388108,2000,0.3942433699527004,0.6057566300472996,215409889,330978219
146,Detective Chinatown 2,544185156,2018,0.0036457885301083076,0.9963542114698917,1983984,542201172
147,X-Men: Apocalypse,543934105,2016,0.285774485495812,0.7142255145041879,155442489,388491616
148,Sherlock Holmes: A Game of Shadows,543848418,2011,0.3435670893134785,0.6564329106865214,186848418,357000000
149,Despicable Me,543113985,2010,0.4630961307321151,0.5369038692678849,251513985,291600000
150,Cinderella,542351353,2015,0.3708875286976559,0.6291124713023442,201151353,341200000
151,Madagascar,542063846,2005,0.35714523746341126,0.6428547625365887,193595521,348468325
152,World War Z,540007876,2013,0.37473473997997764,0.6252652600200224,202359711,337648165
153,Brave,538983207,2012,0.4402423005360907,0.5597576994639093,237283207,301700000
154,The Revenant,532950503,2015,0.34456838480552104,0.6554316151944789,183637894,349312609
155,The Meg,530243742,2018,0.2742960085703378,0.7257039914296621,145443742,384800000
156,Ralph Breaks the Internet,529323962,2018,0.3799029052835511,0.6200970947164489,201091711,328232251
157,"Monsters, Inc.",528773250,2001,0.48389976232723575,0.5161002376727643,255873250,272900000
158,Hotel Transylvania 3: Summer Vacation,528583774,2018,0.31690343941583043,0.6830965605841696,167510016,361073758
159,The Boss Baby,527965936,2017,0.331466522870521,0.6685334771294791,175003033,352962903
160,Dunkirk,525245546,2017,0.3580145465907482,0.6419854534092517,188045546,337200000
161,Godzilla,524976069,2014,0.38225755582013016,0.6177424441798699,200676069,324300000
162,Meet the Fockers,522657936,2004,0.5343096139269183,0.46569038607308166,279261160,243396776
163,How to Train Your Dragon: The Hidden World,521799505,2019,0.3081633912243746,0.6918366087756255,160799505,361000000
164,Kung Fu Panda 3,521170825,2016,0.2753964959569638,0.7246035040430362,143528619,377642206
165,Ant-Man,519311965,2015,0.3470017545234106,0.6529982454765894,180202163,339109802
166,Dr. Seuss' The Grinch,511595957,2018,0.5289739809261237,0.4710260190738763,270620950,240975007
167,Rio 2,498781117,2014,0.2637197570572825,0.7362802429427175,131538435,367242682
168,Troy,497409852,2004,0.268145585504004,0.731854414495996,133378256,364031596
169,How to Train Your Dragon,494878759,2010,0.4396657303289107,0.5603342696710892,217581231,277297528
170,Oz the Great and Powerful,493311825,2013,0.47619337930932426,0.5238066206906757,234911825,258400000
171,Clash of the Titans,493214993,2010,0.33092037005452507,0.6690796299454749,163214888,330000105
172,Maleficent: Mistress of Evil,491730089,2019,0.23169134358178353,0.7683086564182164,113929605,377800484
173,War for the Planet of the Apes,490719763,2017,0.2993157665019495,0.7006842334980505,146880162,343839601
174,Mr. & Mrs. Smith,487287646,2005,0.38239483502112015,0.6176051649788799,186336279,300951367
175,Teenage Mutant Ninja Turtles,485004754,2014,0.39423274189184543,0.6057672581081546,191204754,293800000
176,Bruce Almighty,484592874,2003,0.5010995291688916,0.49890047083110844,242829261,241763613
177,Shrek,484409218,2001,0.5525596975737155,0.4474403024262845,267665011,216744207
178,Rio,483866518,2011,0.29681700150205476,0.7031829984979453,143619809,340246709
179,Rise of the Planet of the Apes,481800873,2011,0.3668739408863628,0.6331260591136372,176760185,305040688
180,Charlie and the Chocolate Factory,474968763,2005,0.43467927173981336,0.5653207282601866,206459076,268509687
181,Hotel Transylvania 2,474800000,2015,0.3574138795282224,0.6425861204717775,169700110,305099890
182,San Andreas,473990832,2015,0.32741315131597315,0.6725868486840269,155190832,318800000
183,It Chapter Two,473093228,2019,0.44725482310222375,0.5527451768977762,211593228,261500000
184,Wreck-It Ralph,471222889,2012,0.40198151113156133,0.5980184888684387,189422889,281800000
185,The Lego Movie,468060692,2014,0.5506992926464331,0.44930070735356686,257760692,210300000
186,Bumblebee,467989645,2018,0.2717914602576303,0.7282085397423698,127195589,340794056
187,Star Trek Into Darkness,467365246,2013,0.4895072172311246,0.5104927827688753,228778661,238586585
188,Gladiator,460583960,2000,0.4075379155626696,0.5924620844373304,187705427,272878533
